Dataset Name	AnnotatorID	VideoID	Plain Summary	Event 1	Start Timestamp Event 1	End Timestamp Event 1	Location Event 1	Event 2	Start Timestamp Event 2	End Timestamp Event 2	Location Event 2	Event 3	Start Timestamp Event 3	End Timestamp Event 3	Location Event 3	Event 4	Start Timestamp Event 4	End Timestamp Event 4	Location Event 4	Event 5	Start Timestamp Event 5	End Timestamp Event 5	Location Event 5	Event 6	Start Timestamp Event 6	End Timestamp Event 6	Location Event 6	Event 7	Start Timestamp Event 7	End Timestamp Event 7	Location Event 7	Event 8	Start Timestamp Event 8	End Timestamp Event 8	Location Event 8	Event 9	Start Timestamp Event 9	End Timestamp Event 9	Location Event 9	Event 10	Start Timestamp Event 10	End Timestamp Event 10	Location Event 10	Event 11	Start Timestamp Event 11	End Timestamp Event 11	Location Event 11	Additional Notes
ActivityNetCap	2	v=ZQs0S7WwYiM	The video shows how carpet shims are installed in the home.	Start title with the words ‘Carpet Shims Installation’.	00:00:00	00:00:04	none	Panels are placed around the area where the carpet will be placed 	00:00:04	00:01:25	Inside a house	The carpet in the affected area is attacked	00:01:25	00:02:24	Inside a house	End credits with the names of the people who installed the carpet and the company's website	00:02:24	00:02:39	none																													
ActivityNetCap	2	v=yBjsQN4fzVY	The video shows the director's cut of a short film called ‘Brushing Teeth in Undies’. 	The two presenters explain that Metacafe in 2008 banned all videos containing people doing nothing entertaining or exceptional	00:00:00	00:00:18	In an enclosed space	A girl brushes her teeth in her underwear	00:00:18	00:00:38	Bathroom	The words ‘BANNED by metacafe’ appear on the screen.	00:00:33	00:00:38	none	The two presenters say they disagree by introducing the director's cut	00:00:38	00:00:50	In an enclosed space	One of the two presenters, as an actor, walks along a beach, first picking up a mussel, then finding a toothbrush and starts brushing his teeth	00:00:50	00:01:34	Beach	The video of the girl is shown again, but this time it continues and a person dressed in black arrives and kills her with a knife 	00:01:34	00:01:43	Bathroom	The presenter, as an actor, wakes up on the beach and brushes his teeth	00:01:43	00:01:58	Beach	The girl shot in blood is shown getting up and looking at herself in the mirror, but now has the face of the presenter	00:01:58	00:02:23	Bathroom	The presenter throws his toothbrush into the sea 	00:02:23	00:02:32	Beach	The toothbrush is shown in the sea, meanwhile an overlay shows who wrote and directed the short and the production	00:02:32	00:02:40	Beach	The presenter walks away walking on the seaside	00:02:40	00:02:44	Beach	
ActivityNetCap	2	v=xPyj6pmYyEk	The video shows how to prepare Linguine with white clam sauce 	Intro of the video with several dishes appearing and disappearing on screen as a collage, then the name of the channel, ‘Recipes in Motion’ appears	00:00:00	00:00:05	none	The name of the dish appears, linguine with white clam sauce, and in the background you can see the dish 	00:00:05	00:00:08	none	The dish is shown ready and plated 	00:00:08	00:00:30	Kitchen table	The pasta is put to cook in a pot with boiling water.	00:00:30	00:00:46	Kitchen table	The parsley is cut 	00:00:46	00:01:00	Kitchen table	The garlic is cut	00:01:00	00:01:09	Kitchen table	the white clams are drained in a glass bowl 	00:01:09	00:01:25	Kitchen table	The pasta sauce is prepared in a large pan	00:01:25	00:02:39	Kitchen table	The pasta is placed in the pan and mixed with the sauce	00:02:39	00:03:05	Kitchen table	The dish is shown ready and plated 	00:03:05	00:03:22	Kitchen table	The words ‘an allrecipes production’ are shown on screen with a link underneath to find their other videos	00:03:22	00:03:27	none	
ActivityNetCap	2	v=sQZaEt-ssCs	The video shows two girls competing in a professional arm wrestling challenge	The two girls challenge each other to an arm wrestle, the round ends in a draw	00:00:00	00:00:28	Arm wrestling tournament ring	The two girls arm wrestle each other this time with their hands tied. The girl on the left wins	00:00:28	00:01:44	Arm wrestling tournament ring																																					
ActivityNetCap	2	v=mGsenLq9yEU	The video shows a news report discussing the bullfighting ban in Catalonia	Channel 4 News' is shown with their website listed below 	00:00:00	00:00:03	none	The journalist introduces the news	00:00:03	00:00:14	News studio	Some scenes of Barcelona bullfighting and protesters calling for a stop are shown 	00:00:14	00:00:30	Streets of Barcelona	A former bullfighter is interviewed	00:00:30	00:03:53	News studio																													
ActivityNetCap	2	v=mfENhAPlES8	The video shows how to insert colour contacts 	A person demonstrates how to insert and remove a black contact lens. Meanwhile, tips appear in the overlay 	00:00:00	00:00:28	Indoor	There is an inscription on a black background saying ‘Grap your halloween contact lenses below’ with arrows pointing down. At the top of the screen is a picture of a girl wearing halloween lenses. 	00:00:28	00:00:31	none																																					
ActivityNetCap	2	v=lk2niPrG3y8	The video shows a girl jumping rope in a gym in front of a ring																																													
ActivityNetCap	2	v=l866oFamRY4	The video shows a dog being led on a leash by its owner down a street. Meanwhile, in the background a man talks pretending to be the dog																																													
ActivityNetCap	2	v=KzK4sf7RmRM	Video shows how to make CAMO cake butter and cupcakes	On-screen inscription ‘How to make CAMO cake batter!	00:00:00	00:00:06	none	Different coloured saccapoche are shown	00:00:06	00:00:27	Kitchen table	The contents of the bags are placed randomly, changing colours, inside several circular pans	00:00:27	00:00:52	Kitchen table	The contents of the bags are placed randomly, changing colours, inside a muffin mould	00:00:52	00:01:20	Kitchen table	The cakes, of different sizes, are shown after baking	00:01:20	00:01:28	Kitchen table	Muffins are shown after baking	00:01:28	00:01:38	Kitchen table	Two slices of cake are shown on a plate	00:01:38	00:01:47	Kitchen table	The bag for making cupcake topping is shown	00:01:47	00:01:56	Kitchen table	A cupcake topping is made 	00:01:56	00:02:13	Kitchen table	The resulting cupcakes are shown	00:02:13	00:02:20	Kitchen table	The words ‘Thanks for Watching!’ are displayed on the screen.	00:02:20	00:02:27	none	
ActivityNetCap	2	v=KujAY-AST9M	The video shows two people exercising by running and pulling at two small doors inside the gym. Between shots they clap hands with one of the two goalkeepers or the other player 	The referee blows his whistle and the two stop. The video is cut and then training resumes in the same way	00:02:30	00:02:45	Inside a gymnasium field																																									
