Dataset Name	AnnotatorID	VideoID	Plain Summary	Event 1	Start Timestamp Event 1	End Timestamp Event 1	Location Event 1	Event 2	Start Timestamp Event 2	End Timestamp Event 2	Location Event 2	Event 3	Start Timestamp Event 3	End Timestamp Event 3	Location Event 3	Event 4	Start Timestamp Event 4	End Timestamp Event 4	Location Event 4	Event 5	Start Timestamp Event 5	End Timestamp Event 5	Location Event 5	Event 6	Start Timestamp Event 6	End Timestamp Event 6	Location Event 6	Event 7	Start Timestamp Event 7	End Timestamp Event 7	Location Event 7	Event 8	Start Timestamp Event 8	End Timestamp Event 8	Location Event 8	Event 9	Start Timestamp Event 9	End Timestamp Event 9	Location Event 9	Event 10	Start Timestamp Event 10	End Timestamp Event 10	Location Event 10	Event 11	Start Timestamp Event 11	End Timestamp Event 11	Location Event 11	Event 12	Start Timestamp Event 12	End Timestamp Event 12	Location Event 12	Event 13	Start Timestamp Event 13	End Timestamp Event 13	Location Event 13	Event 14	Start Timestamp Event 14	End Timestamp Event 14	Location Event 14	Additional comments		
TVSum		3eYKfiOEJNs	The video shows a television report on dog grooming services and the importance of fashion for dogs in Buenos Aires. It shows the dog grooming services of a professional pet stylist. The video shows interviews of the pet stylist, satisfied clients, and images of dogs while they receive services such as bathing, brushing, and hair trimming.	Logo of the television tv show named "The Argentina Independent"	0:00:00	0:00:04	None	Video clips of well-dress persons	0:00:05	0:00:20	Streets	Images of a Dog grooming shop	0:00:22	0:00:30	Dog grooming shop	Interview of a man talking in Spanish about his dog and of the dog grooming services. He is holding his white dog in his arms.	0:00:32	0:00:40	Outside, streets.	Interview of a woman talking in Spanish about her dog and the dog grooming services. The dog is in front of her.	0:00:41	0:00:48	Closed, space. Inside the dog grooming shop	Interview of a woman talking in Spanish about her dog and the dog grooming services. The dog is in front of her.	0:00:41	0:00:48	Closed, space. Inside the dog grooming shop	Interview of the pet groomer talking about the services of peet drooming.	0:01:11	0:01:27	Dog grooming shop	Images of dogs while they receive the pet grooming services with a voice over of the reporter	0:01:28	0:01:43	Dog grooming shop	Interview of the pet groomer talking about the services of peet drooming.	0:01:43	0:02:13	Dog grooming shop	Interview of the woman interviewed before in Spanish about her dog and the dog grooming services. The dog is in front of her.	0:02:19	0:02:26	Dog grooming shop	Interview of a man interviewed before  in Spanish about his dog and of the dog grooming services. He is holding his white dog in his arms.	0:02:26	0:02:40	Outside, streets.	Images of dogs with the voice over of the pet groomer	0:02:50	0:03:00	Dog grooming shop											
TVSum		37rzWOQsNIw	The video shows two young boys eating a sandwich, a dessert in a plastic cup and another food wrapped in some leaves. They eat the found they just both in a local shop. They are eating the food outside, sitting in a square where there are pigeons and seagulls.	The outside of a local shop of sandwiches	0:00:00	0:00:04	Outside a local shop	A detail of an award plaque of the coffee shop	0:00:04	0:00:09	Inside of a shop	Images of the inside of local shop with a series of goods	0:00:09	0:00:21	Inside of a shop	Close up of a sandwich	0:00:21	0:00:38	Outside, square.	Images of a building and a street	0:00:38	0:00:44	Outside, streets	A boy eating a sandwich	0:00:44	0:00:52	Outside, square	Pigeons and seagulls in a square	0:00:52	0:01:01	Outside, square	Close up of a sandwich	0:01:01	0:01:24	Outside, square	Close up of a pigeon walking	0:01:24	0:01:40	Outside, square	A dog corgi	0:01:40	0:01:45	Outside, square	A boy eating dessert in a plastic cup	0:01:48	0:02:18	Outside, streets.	A white food wrappend in some leaves and a boy is eating it	0:02:18	0:03:02	Ouside, square											
TVSum		AwmHb44_ouw	The video is a tutorial described by a man on how to remove the tire from a rim.	Images of large wheels	0:00:00	0:00:02	Outside and inside a barn	A man talking, introducing the tutorial	0:00:02	0:00:40	Close up of a. face	Images of wheel and a car	0:00:40	0:01:14	Outside, in a yard	Close up of a jack used to change a tire	0:01:14	0:01:30	Outside, in yard	Close-up of a wheel while the man points some part of the wheel explaining	0:01:30	0:02:18	Outside, in a yard	Close-up of a wheel while a man is removing the rim with a screwdriver	0:02:18	0:02:32	Outside, in a yard	Close-up of a wheel while a man is removing the rim with two screwdrivers after having lubed the wheel with some soap	0:02:32	0:03:00	Outside, in a yard	Close-up of a wheel while removing the rim completely	0:03:00	0:03:30	Outside, in a yard	Close-up of a tube of a wheel that has been removed	0:03:30	0:04:06	Outside, in a yard	Close-up a a wheel while the man is removing the rim, using again soapy water	0:04:06	0:05:02	Outside, in a yard	Close-up of the man talking	0:05:11	0:05:53	Outside, in a yard															
TVSum		b626MiF1ew4	The video shows some young men and women training for parkour and teaching parkours.	Young men training outside, doing some free body training such as push-ups	0:00:00	0:00:18	Ouside	A man talking, describing the initiative of a group of parkour	0:00:18	0:00:30	Outside, close-up of a man	Men doing parkour, while the men is describing the activities	0:00:38	0:01:30	Outside	A class of parkour with multiple people in a park while they are training 	0:01:30	0:02:09	Outside 	A man describing how to perform the rolling in parkour and a female student is trying to fo it	0:02:09	0:02:40	Outside	Another young man explaining some techniques for parkour in front of the students	0:02:40	0:03:05	Outside in a park	Some men practising parkour	0:03:10	0:03:45	Outside																															
TVSum		Bhxk-O1Y7Ho	The video shows a young African-America woman that describe she groomed and trimmed her fluffly white dog.	A close-up of African America woman with long brown air talking in front of a camera, self-recorded	0:00:00	0:01:09	Inside of a home	The girl is showing a series of product for self care such as shampoo	0:01:09	0:01:27	Inside of a home	Close-up of the girl taking, front-camera	0:01:27	0:01:44	Inside of a home	Images of a fluffywhite dog	0:01:44	0:02:13	Inside of a home	Close-up of the girl taking, front-camera, while she also shows her dog	0:02:13	0:02:56	Inside a home	Close-up of the women, talking and walking in a parking lot, front-camera. She now wears makeup. 	0:02:56	0:03:24	Parking lot	The woman is talking in the elevator and she is with a blonde woman	0:03:24	0:03:33	Elevator	The girl is walking and talking outside, front-camera. She is with the other blonde girl.	0:03:33	0:04:25	Ouside, in the streets	The woman trimmed the white dog and petting it analyzing the resulg	0:04:25	00:06:27	Inside.a home	Close-up of the girl while talking, front-camera, showing some of the tool used	00:06:27	 0:07:05	Inside.a home	The woman shows the white dog to conclude the video	 0:07:05	0:07:30	Inside.a home															
TVSum		byxOvuiIJV0	The video shows some people with colorful dresses celebrating and dancing in crowded streets.	Some kids are playing, probably criquet.	0:00:08	 0:00:16	Outside, in a park	Some people are celebrating in the street	 0:00:16	0:00:24	Outside, in a crowded street	Many people are dancing and celebrating in the streets.	 	0:02:24	Outside, in a crowded street																																															
TVSum		eQu1rNs0an0	The video shows a tutorial on different ways to stop a bicycle without brakes.	Close-up of a white Caucasian woman with medium-long brown hair talking	0:00:00	0:00:06	Inside, in a studio	Images of people in bicycles in streets	0:00:06	0:00:20	Outside, streets	Close-up of the woman while talking introducing the skip-stop	0:00:26	0:01:00	Inside, in a studio	A man on a bicicle demonstrating how to do a skip-stop	0:01:00	0:01:25	Outside, in a street	The woman introduces the skip-stop	0:01:27	0:01:38	Inside, in a studio	A man is demonstrating the skid-squad.	0:01:38	0:01:55	Outside, in a street	The woman introduces another way to do a stop,  putting back pressure on the pedals	0:01:55	0:02:09	Inside, in a studio	A man is demonstrating the stop by back pressure	0:02:09	0:02:20	Outside, in a street	The woman is talking, concluding the video 	0:02:20	0:02:37	Inside, in a studio																							
TVSum		fWutDQy1nnY	fWutDQy1nnY	The video shows the celebrations of the Chines New Eve Celebration in the streets of Chinatown in Vancouver	Introduction of the video with some images and the title 'Chinese New Year Parade 2008' 'Vancouver Chinatown'.	0:00:00	0:00:08	/	Interview of a man in Chinatown	0:00:08	0:01:00	Outside, streets	Images of the streets of Chinatown with celebrations of the Chinese New Year and Chinese Dragon Dances	0:01:00	00:06:27	Outside, streets	Police cars in the streets where there are the celebrations	00:06:27	00:06:44	Outside, streets	Images of a lot of people in the streets of Chinatown celebrating the New Year	00:06:44	00:07:20	Outside, streets	Close-up of a syringe	00:07:20	00:07:27	Outside, street	Images of inside a shop of a person looking at products	00:07:27	00:08:04	Inside, in a shop	A man with an umbrella talking to the camera, with a friend	00:08:14	00:08:56	Outiside, in the street	Images of a park with a lot of people walking, while raining	00:08:56	0:09:00	Outside, in a park	Close up of goldfishs in a outdoor pond	0:09:00	0:09:11	Outside, outdoor pond	Images of a chines park with a lot of people walking, while raining	0:09:11	0:09:42	Outside, in a park														
TVSum		gzDbaEs1Rlg	gzDbaEs1Rlg	The video is a tutorial on how to use a tire repair kit for a SKODA car, with a man describing the kit and how to use it.	A man in front of a car talking to the camera	0:0:02	0:0:27	Ouside, in a street	The main is seated in the car and is talking to the camera	0:0:27	0:0:33	Inside a car	Close-up of a handbrake	0:0:33	0:0:38	Inside a car	The main is seated in the car and is talking to the camera, moving the car's gear lever to a certain position	0:0:38	0:0:50	Inside a car	The man has on an orange safety vest and he is near the car wheel, talking to the camera	0:0:50	00:01:06	Outside, in a street	Close up of a kit for changing a wheel of a car	00:01:09	00:01:20	Close-up	The man with the orange safety vest is talking to the camera with a bottle for repairing	00:01:23	00:01:35	Outside, in a street	The man with the orange safety is talking to the camera close to a wheel and is operating on it, filling it with the content of the bottle and then using an air compressor	00:01:35	00:03:11	Outside, in a street	The man is inside the car, talkig to the camera	00:03:30	00:03:55	Inside a car	Images of texts with safety instructions to follow after the repair	00:03:55	00:04:11	Slides with text	The man is inside the car, talkig to the camera	00:04:11	00:04:30															
TVSum		HT5vyqe0Xaw	HT5vyqe0Xaw	The video shows a truck stuck on a street due to a delivery of a table with chairs. The video shows how it was pull out thanks to a second truck.	Images of a woooden table with chairs in a patio	00:00:00	00:00:14	Ouside, in a patio	Images of outside a private street, surrounded by trees	00:00:14	00:00:35	Ouside, in a street	Images of a blue and white truck stuck in a street surrounded by trees held by a cord to a tree	00:00:35	00:02:24	Ouside, in a street	A red truck pulls out the stuck truck	00:02:24	00:04:27	Ouside, in a street	The blue and white truck is unstuck and can drive in the street	00:04:27	00:05:18	Ouside, in a street																																						
TVSum		iVt07TCkFM0	The video shows a tutorial on how to do a wheelie.	Close-up of a white Caucasian woman with brown hair in a pony tail talking	0:0:00	0:00:09	Inside, in a studio	Intro with images of people in bicycles in streets	0:00:09	0:0:27	Outside, streets	Two men, the one with the hat is talking	0:0:27	 0:00:40	Inside, in a warehouse	The other man is demonstrating how to do the wheel 	 0:00:40	 0:01:23	Inside, in a warehouse	The woman is talking, concluding the video	 0:01:23	0:01:34	Inside, in a studio																																							
TVSum		J0nA4VgnoCo	The video shows a couple that, while traveling, had their tire damaged. The video shows they changed the tire with the help of a woman friend.	A couple in a car, the man is driving while the girl is a passenger	00:00:00	00:00:23	Inside, in a car	The man is near the car with the car trunk open, a flat tire , and some tools nearby. He is talking with another man while the woman is recording.	00:00:23	00:01:56	Outside, in a parking lot	The man and the girl are in the car. The girl is showing some sweets to the camera and then talking to the phone.	00:01:56	00:02:35	Inside, in a car	Another woman arrives by car to help change the tire.	00:02:35	00:02:48	Outside, in a street	The man is taking stuffs from the car trunk to repair the flat tire	00:02:48	00:03:58	Outside, in a parking lot	The man is changing the flat tire while the woman is eating the candies.	00:03:58	00:04:45	Outside, in a parking lot	The woman is showing the instructions on how to repair the tire.	00:04:45	00:05:00	Close-up	The man is changing the flat tire with the help of the woman who arrived.	00:05:00	00:06:54	Outside, in a parking lot	The video shows the woman standing by the car talking at the phone	00:06:54	00:07:30	Outside, in a parking lot	The man does a funny dance to celebrate that the tire is repaired	00:07:55	00:08:24	Outside, in a parking lot	The couple is at a table at a restaurant with the woman who arrived and another man, laughing and dancing	00:08:24	00:09:45	Inside, in a restaurant															
TVSum		jcoYJXDG9sw	The video shows a TV report and interview about an overweight dog in a TV studio.	A close-up of a interviewer man talking	00:00:00	00:00:03	Inside, in a TV studio.	A close-up of a overweight brown dog	00:00:03	00:00:17	Inside, in a TV studio.	The interviewer is with a man and a woman with the dog in front of them and they are talking	00:00:17	00:01:30	Inside, in a TV studio.	Images of the overweight brown dog struggling to walk	00:01:30	00:01:48	In a house	Images of the dog eating	00:01:48	00:02:10	Outside, in a garder	The interviewer, the man and a woman are talking with the dog in front of them	00:02:10	00:03:19	Inside, in a TV studio.																																			
TVSum		JgHubY5Vw3Y	The video shows good practises to keep a bike safe.	Close-up of a white Caucasian woman with medium-long brown hair talking with a white man, both standing	0:00:00	0:00:06	Inside, in a studio	Intro with images of people in bicycles in streets	0:00:06	0:00:20	Outside, streets	The guy is talking, describing how to keep a bike safe. First, avoid any quick release.	0:00:34	0:00:41	Inside, in a studio	Demonstration on how it is easy to stole a bike if there is any quick release	0:00:41	0:01:02	Outside, in the streets	The video shows to personalize the bike to make it seems more used, less new.	0:01:07	0:01:28	Outside, in the streets	The video demonstrate how to lock the bike, preferring u-lock.	0:01:28	2:01	Outside, in the streets with some close-up in the studio	The woman is talking, concluding the video	0:02:01	0:02:16	Inside, in a studio																															
TVSum		LRw_obCPUt0	The video describes the making of a chicken fried sandwich in a restaurant.	Close-up of a sandwich cuted in half	00:00:00	00:00:08	Close-up	A man sitted in a chair talking to the camera, mimiking the act of eating a sandwich and gesticulating	00:00:15	00:00:50	Inside, in a restaurant	Images of frying chicken in a fryer with boiling oil	00:00:57	00:01:05	Inside, in a restaurant	Images of a man cooking and then talking to the camera, standing.	00:01:12	00:01:35	Inside, in a restaurant	Close-up of the making of a chicken sandwich with topping, raddish, cucumnber	00:01:35	00:02:40	Inside, in a restaurant	Images of the man interviewed talking to the camera.	00:02:40	00:02:50	Inside, in a restaurant	Images of the inside of the restaurant with clients	00:02:50	00:03:02	Inside, in a restaurant	Again the man sitted in a chair talking to the camera	00:03:02	00:03:13	Inside, in a restaurant	Close-ups of the sandwich and other plates	00:03:17	00:03:40	Inside, in a restaurant	The man sitted in the chair talking to the camera	00:03:40	00:03:42	Inside, in a restaurant	Final close-up of the sandwich	00:03:42	00:04:01	Close-up															
TVSum		oDXZc0tZe04	The video shows the growth of a bee hive inside the cavity of a tree.	A slide with text with the title of the video	00:00:00	00:00:11	None	Close-up of a tree with a bee hive and bees.	00:00:11	00:00:41	Outside, close-up of a tree	Someone is opening a cavity inside a tree, originally closed with a cord	00:00:41	00:01:01	Outside, close-up of a tree	Close-up of the internal of the tree, with the bee hive and bees	00:01:01	00:01:46	Outside, internal a tree	Someone is opening again the cavity of the a tree	00:01:46	00:01:58	Outside, close-up of a tree	Close-up of the internal of the tree, with the bee hive and bees	00:01:58	00:02:25	Outside, internal a tree	Close-up of a tree with a bee hive and bees.	00:02:25	00:02:40	Outside, close-up of a tree	Someone is opening for the third time the cavity of the a tree, closed with a cord	00:02:40	00:03:00	Outside, close-up of a tree	Close-up of the internal of the tree, with the bee hive and bees	00:03:00	00:03:28	Outside, internal a tree	Someone opens for the forth time the cavity of the a tree, closed with a cord	00:03:28	00:04:50	Outside, close-up of a tree	Close-up of the internal of the tree fully covered by bees and the bee hive.	00:04:50	00:06:10	Outside, internal a tree															
TVSum		Se3oxnaPsz0	The video shows a television news report about the attack to pigs of bees and how beekepers were involved to remove the hive.	A blonde anchorwoman with a pink shirt is reading the news in a television news program	00:00:01	00:00:15	Inside, in a TV studio	A woman reporter is showing a hole in a ceiling of a building	00:00:15	00:00:34	Inside a building	Images of a pig in the internal of the building	00:00:34	00:00:45	Inside a building	A series of person are interviewed: a man with a bandana and glasses, a woman with a hat and glasses and another man	00:00:45	00:01:17	Close-up of the interviewed	Several beekeepers with clothing for bee protection	00:01:17	00:01:19	Outside	A man with a hat and yellow shirt is interviewed, talking to the camera	00:01:19	00:01:38	Outside	Images of the beekeepers and of a pig	00:01:38	00:02:02	Outside	The woman reporter is talking to the camera	00:02:02	00:02:12	Inside a building																											
TVSum		 vdmoEJ5YbrQ	The video shows that some people had their car stuck in the snow, saw that it was too stuck to be removed, and left with another car.	Several persons with showel with a dog are outside with a lot of snows and many trees	00:00:00	00:01:01	Outside, in forest	The persons are walking towards a car stuck in the snow	00:01:01	00:01:42	Outside, in street in a forest	Close-up of the car stuck in the snow	00:01:42	00:02:30	Outside, close-up of the car	The persons and the dog are walkig, moving far from the car and approaching another car	00:02:30	00:03:29	Outside, in a street in forest	The persons entered in the car	00:03:29	00:04:05	Inside, in a car	The persons leave by car, showing images of the people in the car and of the outside with the snow	00:04:05	00:05:29	Inside the car, with images of the outside																																			
TVSum		VuWGsYPqAX8	The video shows the flash mob that occurred in Sydney for FreeSyria to protest. The persons are standing still, mimicking acts of war or people suffering, in silence.	Images of men and women with some protest signs	00:00:00	00:00:20	Outside	Text with written #Silenceisbetrayal freesyria, Sydney flash mob and the date of the event (saturday 19th may 2012)	00:00:20	00:00:29	None	Images of people in a flash mob, standing still in protest, hugging each other, or mimicking acts of war such as beating and shooting, or with protest signs. In the meanwhile, other people are taking pictures	00:00:29	00:03:26	Ouside, in a plaza																																															
TVSum		xxdtq8mxegs	The video shows how to use a product to clean the ears a dog.	Text with Vetoquinol, the name of a product	00:00:00	00:00:10	None	Text with the title 'How to clean you dog's ears' and a close-up of the product	00:00:10	00:00:22	None	A male veterinarian with a golden retriver dog, petting the dog and showing the product	00:00:22	00:01:02	Inside, in a room	The male veterinarian with another woman veterinarian with the dog, showing how to clean the ear of the dog	00:01:02	00:01:40	Inside, in a room	Text with tips on how to clean the dog's ears	00:01:40	00:01:53	None	Close-up of the veterinarian talking to the camera	00:01:53	00:02:00	Inside, in a room																																			
																																																														
																																																														
																																																														
																																																														
