Dataset Name	AnnotatorID	VideoID	Plain Summary	Event 1	Start Timestamp Event 1	End Timestamp Event 1	Location Event 1	Event 2	Start Timestamp Event 2	End Timestamp Event 2	Location Event 2	Event 3	Start Timestamp Event 3	End Timestamp Event 3	Location Event 3	Event 4	Start Timestamp Event 4	End Timestamp Event 4	Location Event 4	Event 5	Start Timestamp Event 5	End Timestamp Event 5	Location Event 5	Event 6	Start Timestamp Event 6	End Timestamp Event 6	Location Event 6	Event 7	Start Timestamp Event 7	End Timestamp Event 7	Location Event 7	Event 8	Start Timestamp Event 8	End Timestamp Event 8	Location Event 8	Event 9	Start Timestamp Event 9	End Timestamp Event 9	Location Event 9	Event 10	Start Timestamp Event 10	End Timestamp Event 10	Location Event 10	Event 11	Start Timestamp Event 11	End Timestamp Event 11	Location Event 11	Event 12	Start Timestamp Event 12	End Timestamp Event 12	Location Event 12	Event 12	Start Timestamp Event 12	End Timestamp Event 12	Location Event 12	Event 13	Start Timestamp Event 13	End Timestamp Event 13	Location Event 13	Event 14	Start Timestamp Event 14	End Timestamp Event 14	Location Event 14	Additional comments
TVSum	2	xxdtq8mxegs	The video shows a commercial for a product to clean dogs' ears. In the video, a doctor shows how to properly clean dogs' ears while also giving some useful tips. 	Logo and website of the producy: "Vétoquinol, a sign of passion"	00:00:00	00:00:10	none	The product is shown and the goal of the video is described: how to clean the dog's ears. In addition, the name and location of the doctor who will do the tutorial are shown	00:00:10	00:00:22	None	A male doctor introduces the video and explains why it is important to clean a dog's ears by kneeling down petting a dog and explaining what he will do 	00:00:22	00:00:58	Closed space	The doctor takes and shows the product 	00:00:35	00:00:40	Closed space	A message that says "Tips For Cleaning Your Dog's Ears" is shown	00:00:58	00:01:02	None	The male doctor shows how to clean the dog's ear. Another female doctor is also present near the dog 	00:01:02	00:01:08	Closed space	Close-up on the dog whose ear is raised by the doctor and cleaned	00:01:08	00:01:28	Closed space	The male doctor give tips on how to clean the dog's ear. Another female doctor is also present near the dog 	00:01:28	00:01:39	Closed space	Different tips for cleaning one's dog's ears are shown on a white background while the man talks in the background	00:01:39	00:01:54	None	Close-up on doctor talking with product in hand	00:01:54	00:01:58	Closed space	It is shown on the screen "Special Thanks to Dr. Wesley Williams Hillside Veterinary Clinic Dallas, TX" on a white background	00:01:58	00:02:03	None	The product with the relevant name "VET Solutions" and the words "Ear cleansing solution" is shown. At the bottom is the brand name of the product. 	00:02:03	00:02:13	None	Logo and website of the producy: "Vétoquinol, a sign of passion"	00:02:13	00:02:24	None									
TVSum	2	VuWGsYPqAX8	The video shows a flashmob that was held in Sydney for the victims in Syria. The title of the flashmob is #SilenceIsBetrayal. The video also shows the reactions of passersby around. 	Several image changes showing the preparation of the flashmob, in the lower right corner in overlay is written "#SILENCEISBETRAYAL SYDNEY FLASH MOB FOR SYRIA"	00:00:00	00:00:19	Sidney city square, near a river	It is shown on the screen the Twitter and the Facebook page of the event on top, "#SILENCEISBETRAYAL FREESYRIA" in the middle, and "SYDNEY FLASH MOB SATURDAY 19TH MAY 2012" on the bottom on a black background. 	00:00:19	00:00:25	None	Different scenes of the flashmob, with motionless people dressed in black simulating the tragic events. Music playing in the background.  In the lower right corner in overlay is written "#SILENCEISBETRAYAL SYDNEY FLASH MOB FOR SYRIA"	00:00:25	00:02:52	Sidney city square, near a river	Passersby interacting, watching and taking photos of the people performing the flashmob.	00:01:07	00:02:52	Sidney city square, near a river	People appear with signs with different messages written on them that are part of the flashmob and always dressed in black.	00:01:25	00:02:05	Sidney city square, near a river	Shooting scenes are emulated, where some of the flashmob participants simulate the gun gesture to kill others. Meanwhile, some beat on drums to simulate the sound of the gunshot. 	00:02:06	00:02:52	Sidney city square, near a river	A banner is displayed from a bridge over the square with the words "Silence is Betrayal" and the flag of Syria. All flash mob participants point to the banner. Passersby look at the banner.	00:02:52	00:03:19	Sidney city square, near a river	Everyone starts walking normally again through the square	00:03:19	00:03:24	Sidney city square, near a river	It is shown on the screen the Facebook page of the event on top, "#SILENCEISBETRAYAL SYDNEY FLASH MOB FOR SYRIA" in the middle and on the bottom right.	00:03:24	00:03:28	None	It is shown on the screen the Facebook page of the event on top, with "NOMORESILENCE FREESYRIA" in the middle, and "#SILENCEISBETRAYAL SYDNEY FLASH MOB FOR SYRIA" in the bottom right.	00:03:28	00:03:31	None	The banner "SILENCE IS BETRAYAL" on the bridge is shown again. In the lower right corner in overlay is written "#SILENCEISBETRAYAL SYDNEY FLASH MOB FOR SYRIA"	00:03:31	00:03:36	Bridge on top of the Sydney square																	
TVSum	2	vdmoEJ5YbrQ	A group of young people, two younger and two older, get stuck in the snow with their car and are rescued by a gentleman. At the end of the video, seeing that it is impossible to move the car, they leave it and all leave together with the gentleman's car	The gentleman holds the camera and asks the young people what happened	00:00:00	00:00:25	Outdoor place in nature. There are trees and snow	The whole group heads for the blocked car, there is also a dog following the group	00:00:25	00:01:34	Outdoor place in nature. There are trees and snow	The gentleman analyzes the car and explains that it will not be able to move. Meanwhile, one of the children tries to move the car by pushing it	00:01:34	00:02:40	Outdoor place in nature. There is the car stuck in the snow	The group returns to the gentleman's car	00:02:40	00:03:25	Outdoor place in nature. There is snow	The group gets into the car and they drive off	00:03:25	00:04:05	In a car	The gentleman drives through a field. The car jerks a lot, eventually they reach a point where the road is flatter	00:04:05	00:05:29	Inside the car. you can also see the landscape around it.																																					
TVSum	2	Se3oxnaPsz0	A news report showing a news story about an invasion of killer bees inside a country house	News logo with music in background	00:00:00	00:00:02	none	The presenter presents the news standing up. Behind her is a screen with footage of the incident 	00:00:02	00:00:14	news study	Reporter explains what happened and shows where the hive was located inside the ceiling	00:00:14	00:00:34	Dark interior of a house	A scene of a pig being attacked by bees is shown. In the background, the first reporter describes the scene	00:00:34	00:00:50	outdoor barn	The person who made the videos prior to the report is interviewed	00:00:50	00:00:51	Open place, behind a truck displaying the logo of a bee exterminator called "killerbeeguy"	Video clips showing bees and their hive	00:00:51	00:00:54	Interior of a house	A farmer who was attacked by bees is interviewed.	00:00:54	00:01:05	Outdoor. With a house in the background	Another farmer who was attacked by bees is interviewed.	00:01:05	00:01:10	Interior of a house	The first farmer who was attacked by bees is interviewed.	00:01:10	00:01:15	Outdoor. With a house in the background	Video of exterminators walking with mask and protective robe	00:01:15	00:01:19	Outdoor, in a campaign	A man named Reed Boot, "The Killer bee Guy," is interviewed. Short clips appear at intervals showing bees otr the exterminators removing the hives	00:01:19	00:01:50	outside	Video clips with the two attacked pigs are shown. The first one died; the second, pregnant, went into a coma and lost her child	00:01:50	00:02:01	outside	The second reporter concludes the news by giving some advice if beehives were to be found at home. 	00:02:01	00:02:16	Dark interior of the same house	End of news screen saying "Developing Story" 	00:02:16	00:02:18	None					
TVSum	2	oDXZc0tZe04	The video shows the evolution of a vertical log hive over time. 	Screen with clear background that reads, “vertical log hive. Inoculated with propolis and bees wax, set up at 10 feet height within a tree, with three entrance holes and one rear observation port”	00:00:00	00:00:10	none	A tree is shown with the overlay “A swarm moved in.” After that, bees are shown buzzing around the trunk	00:00:10	00:00:40	Outdoors in the middle of nature	The first opening is shown through the hole created in the trunk. It has been 6 days since the establishment of the hive, as shown in the overlay. The camera is placed inside the log and the bees are shown	00:00:40	00:01:46	Outdoors in the middle of nature	The second opening is shown through the hole created in the log. Seventeen days have passed since the establishment of the hive, as shown in the overlay. The camera is placed inside the log and the bees are shown. Very similar to the previous event	00:01:46	00:02:23	Outdoors in the middle of nature	The third from opening is shown through the hole created in the trunk. Now at the beginning some bees are shown leaving and entering through the small holes in the log. Thirty-seven days have passed since the establishment of the hive, as shown in the overlay. The camera is put inside the log and the bees are shown, which are many more than the second opening.	00:02:23	00:03:30	Outdoors in the middle of nature	The fourth opening is shown through the hole created in the trunk. Eleven weeks have passed since the establishment of the hive, as shown in the overlay. There are now many more bees, being also on the cap that is removed to see inside and totally fill the log.	00:03:30	00:06:13	Outdoors in the middle of nature	The name and webpage of the person who made the video, “Gaia Bees” is shown.	00:06:13	00:06:20	None																																	
TVSum	2	LRw_obCPUt0	The video describes the history, how the Fried Chicken Sandwich made by Joiseph Leonard is made and why	Close-up of a fried chicken sandwich cut in half. Then the words "Joseph Leonard's Fried Chicken Sandwich" appear in an overlay.	00:00:00	00:00:09	Cutting board. the hands of a man who is in the background are visible	Short videos showing the store from the outside are shown. In the background, a man begins to speak 	00:00:09	00:00:14	Exterior of a small restaurant in a city 	The man being interviewed is shown and speaks while sitting at a table. He explains what he thinks is important when eating a food	00:00:14	00:00:50	Interior of the small restaurant. At the back is a wall with several mirrors	A person is shown frying chicken 	00:00:50	00:01:04	Kitchen of the little restaurant	The same person describes what makes their fried chicken exceptional. Meanwhile, he is shown at first eating the sandwich, and then he is shown preparing it in the kitchen	00:01:04	00:01:37	Kitchen of the little restaurant	A close-up video of the sandwich preparation is shown. In the background, the two protagonists continue talking and explain what makes their sandiwich unique	00:01:37	00:02:40	Table with the sandwich. the hands of a man who is in the background are visible	Daily scenes of the small restaurant with customers and waiters are shown.	00:02:50	00:03:00	Interior of the small restaurant	The first man being interviewed is shown again and speaks while sitting at a table. He explains what are the main principles of his restaurant	00:03:00	00:03:13	Interior of the small restaurant. At the back is a wall with several mirrors	The second man eats a sandwich and says it is good	00:03:13	00:03:16	Interior of the small restaurant. At the back is a wall with several mirrors	Several dishes are shown. In the background the man continues to explain what his restaurant is all about.	00:03:16	00:03:26	close-ups of tables	A close-up of the sandwich being crushed is shown	00:03:53	00:04:01	table surface	episode logo is shown on a white background. "Great GoogaMooga Brooklyn food curated."	00:04:01	00:04:08	none	episode logo is shown on a white background. "Great GoogaMooga Brooklyn food curated."	00:04:01	00:04:08	none	purple background shows the social pages of the program creators	00:04:08	00:04:20	none					
TVSum	2	JgHubY5Vw3Y	In the video, two people give tips on how to keep your bike safe and prevent it from being stolen. 	Introduction to the video where it is explained what will be discussed, i.e., how to keep your bike safe	00:00:00	00:00:05	Inside a room. On the back wall are several colorful bicycle wheels and other items.	Channel music introductory video. Several clips of people riding bikes or working on bikes are shown	00:00:05	00:00:25	Different Locations, outside and inside	The logo of the channel is shown in overlay, "Pure Fix TV"	00:00:20	00:00:25	None	The guest for the episode, Zach, is introduced and asked if he has any tips for keeping his bike safe. 	00:00:25	00:00:35	Inside a room. On the back wall are several colorful bicycle wheels and other items.	The first piece of advice is given, which is not to use any quick release on one's bike, and it is explained why. Meanwhile there is a video on the screen showing the theft of the wheel with quick release installed. 	00:00:35	00:01:04	Outdoor environment within a city 	The second advice is given, which is to camouflage one's bike, such as through the use of stickers so as not to attract thieves. Meanwhile, there is a video on the screen showing a person sticking stickers on the bike. 	00:01:04	00:01:30	Both inside, where the interview takes place, and outside.	The third piece of advice is given, which is to always use the lock and is advised which one may be most suitable. Meanwhile on the screen is a video how to lock the bike with different padlocks. 	00:01:30	00:02:04	Both inside, where the interview takes place, and outside.	Conclusion of the interview with thanks to the interviewee. 	00:02:04	00:02:16	Inside a room. On the back wall are several colorful bicycle wheels and other items.	Screen showing the logo and website of the “Pure Fix TV” channel and the respective telegram and facebook pages	00:02:16	00:02:22	None																									
TVSum	2	jcoYJXDG9sw	The video features a TV program reporting on a lady's adoption of an obese dachshund and what his new life will be like. The video also features some medical comments made by a veterinarian	The presenter introduces the news about Obie, the obese dachshund and his new life	00:00:00	00:00:22	Inside a wide hall. there is a table in the center with the dog on it. In the background are several pieces of furniture with different objects on them. 	The lady who adopted the dog describes the moment of adoption and the first time she saw the dog	00:00:22	00:01:00	Inside a wide hall. there is a table in the center with the dog on it. In the background are several pieces of furniture with different objects on them. 	Veterinarian explains the risks of having a dog that is too overweight	00:01:00	00:01:40	Inside a wide hall. there is a table in the center with the dog on it. In the background are several pieces of furniture with different objects on them. 	the new owner explains what diet and methods she is using to get her dog to lose weight	00:01:40	00:02:20	Inside a wide hall. there is a table in the center with the dog on it. In the background are several pieces of furniture with different objects on them. 	The dog is shown performing some daily actions such as walking or eating. 	00:01:30	00:02:05	Inside and outside of a house.	The presenter shows some data on the general problem of obesity among domenistic animals, and the veterinarian analyzes the problem based also on his experiences	00:02:20	00:02:55	Inside a wide hall. there is a table in the center with the dog on it. In the background are several pieces of furniture with different objects on them. 	There is talk about the future of the obese dachshund.	00:02:55	00:03:19	Inside a wide hall. there is a table in the center with the dog on it. In the background are several pieces of furniture with different objects on them. 																																	
TVSum	2	J0nA4VgnoCo	The video shows two young people on a road trip who get a flat tire on their car and have to change it. During the video, another person arrives to help carry the wheel and jack. At the end the three eat in a restaurant. 	There are two young people in a car on the road talking	00:00:00	00:00:24	Inside a car	The guy tries to change car tire that got a flat tire	00:00:24	00:00:36	In an outdoor parking lot	A gentleman talks about an accident he had with the car while the boy keeps trying to change the wheel	00:00:36	00:01:40	In an outdoor parking lot	The two young people are back in the car and the girl shows a snack she bought. Then she gets a call from her friend who is coming to help.	00:01:55	00:02:34	Inside a car	The helper's car arrives	00:02:34	00:02:48	On a fairly busy road	The boy with difficulty tries and manage to get the jack out of the hood of the car	00:02:48	00:03:55	In an outdoor parking lot	The boy takes the wheel off the car and they show the damage on the wheel	00:04:00	00:05:36	In an outdoor parking lot	The boy change the new wheel of the car	00:05:36	00:06:54	In an outdoor parking lot	The girl is on the phone with her father and tells him what happened, asking for advice	00:06:54	00:07:30	In an outdoor parking lot	Boy pretends he is at the end of filming a movie and has won an oscar	00:07:30	00:07:55	In an outdoor parking lot	Boy dances by the car	00:07:55	00:08:22	In an outdoor parking lot	Four young people are sitting at a restaurant table at the end of a dinner party. Then two of them begin to sing and dance while sitting	00:08:22	00:09:44	Inside a restaurant													
TVSum	2	iVt07TCkFM0	The video aims to explain how to wheelie with a bicycle. During the video, one person gives some tips for learning how to wheelie while another visually puts them into practice	Introduction to the video where it is explained what will be discussed, i.e., how to wheelie with a bike	00:00:00	00:00:08	Outside. In the background is a wall with a mural.	Channel music introductory video. Several clips of people riding bikes or working on bikes are shown	00:00:08	00:00:28	Different Locations, outside and inside	One guy introduces the explanation on how to do wheelie and that the second guy will show how to do it instead	00:00:28	00:00:41	Inside a large dark room	As the boy explains how to wheelie pictures are shown of the other boy performing the actions described by the first one	00:00:41	00:01:22	Inside a large enclosed shed. 	Conclusion of the video and thanks from the first presenter	00:01:22	00:01:32	Outside. In the background is a wall with a mural.	Screen showing the logo and website of the “Pure Fix TV” channel and the respective telegram and facebook pages	00:01:32	00:01:44	None																																					
