Dataset Name	AnnotatorID	VideoID	Plain Summary	Event 1	Start Timestamp Event 1	End Timestamp Event 1	Location Event 1	Event 2	Start Timestamp Event 2	End Timestamp Event 2	Location Event 2	Event 3	Start Timestamp Event 3	End Timestamp Event 3	Location Event 3	Event 4	Start Timestamp Event 4	End Timestamp Event 4	Location Event 4	Event 5	Start Timestamp Event 5	End Timestamp Event 5	Location Event 5	Event 6	Start Timestamp Event 6	End Timestamp Event 6	Location Event 6	Event 7	Start Timestamp Event 7	End Timestamp Event 7	Location Event 7	Event 8	Start Timestamp Event 8	End Timestamp Event 8	Location Event 8	Event 9	Start Timestamp Event 9	End Timestamp Event 9	Location Event 9	Event 10	Start Timestamp Event 10	End Timestamp Event 10	Location Event 10	Event 11	Start Timestamp Event 11	End Timestamp Event 11	Location Event 11	Event 12	Start Timestamp Event 12	End Timestamp Event 12	Location Event 12	Event 13	Start Timestamp Event 13	End Timestamp Event 13	Location Event 13	Event 14	Start Timestamp Event 14	End Timestamp Event 14	Location Event 14	Additional comments		
SumMe	7	Air_Force_One	The video shows the landing of an airplane with a US flag with a clear orange sky.	An airplane starts its descending before landing.	00:00:03	00:01:04	Airstrip with some trees in the foreground and buildings in the background.	A bird crosses the frame from right to left while the airplane lands.	00:01:05	00:01:06	Airstrip with some trees in the foreground and buildings in the background.	The airplane lands.	00:01:05	00:02:08	Airstrip with some trees in the foreground and buildings in the background.	The airplane turns left, showing a US flag on the livery.	00:02:09	00:02:26	Airstrip with some trees in the foreground and buildings in the background.																																											
SumMe	7	Base_jumping	The first-person video shows the descent from a mountain near a lake by two skydivers.	The skydiver shoots his/her companion.	00:00:02	00:00:04	On a rocky rise with some vegetation.	The skydiver starts the descent, flying over trees and shooting a turquoise lake.	00:00:25	00:01:20	From the rocky rise, flying over trees.	The skydiver opens the parachute.	00:01:22	00:01:29	In the air, in front of the lake.	The skydiver shoots the companion who is flying close by with the parachute.	00:01:29	00:02:00	In the air, toward the ground.	The two skydivers reach the ground.	00:02:01	00:02:07	Descending until reaching the ground.	The two skydivers shake hands.	00:02:11	00:02:16	On a road among the vegetation.																																			
SumMe	7	Bearpark_climbing	The video shows three bears of different sizes climbing on trees. One of them pulls off some branches. Two of them climb down the tree and start walking together.	A bear pulls off a branch.	00:00:04	00:00:12	Upper part of the tree, among branches.	The second bear is framed.	00:00:35	00:00:39	Upper part of the tree, lower right of the first bear.	The two bears start climbing down the tree.	00:00:57	00:01:10	From the upper part of the tree to the lower part.	The third bear is framed.	00:01:10	00:01:23	Among the branches of the middle part of the tree.	The first two bears keeps climbing down the tree.	00:01:24	00:01:34	From the middle part to the bottom part of the tree.	The two bears reach the ground and start walking together.	00:01:40	00:01:51	From the tree base toward the right of the framing.																																			
SumMe	7	Bike_Polo	The first-person video shows some people that are playing bike polo at night.	The player defends the goal by positioning himself in front it.	00:00:02	00:00:10	On a polo field, in front of the goal net.	The opposing team makes a play and shoots at goal.	00:00:14	00:00:24	From the center of the field toward the goal.	The player moves to the opponent's half of the field.	00:00:47	00:01:07	From the goal toward the other hald of the field.	An opposing player defends the goal by positioning himself in front of it.	00:01:09	00:01:13	From the center of the field toward the goal of the opposing team.	A teammate shoots at goal.	00:01:12	00:01:13	Near the goal of the opposing team.	An opposing player scores a goal.	00:01:36	00:01:38	Towards the goal.																																			
SumMe	7	Bus_in_Rock_Tunnel	The video shows a bus proceeding very slowly because it is going through a very narrow rock tunnel.	There is a zoom on the bust which is stuck in a rock tunnel.	00:00:47	00:00:50	The framing is on the exit of the rock tunnel.	The bus starts exiting the rock tunnel very slowly.	00:00:50	00:01:21	The framing is on the exit of the rock tunnel.	The front of the bus exits from the rock tunnel.	00:01:22	00:01:30	The framing is on the exit of the rock tunnel.	A man with an orange t-shirt behind the bus appears.	00:02:03	00:02:08	Some meters after the exit of the rock tunnel.	A red car behind the bus appears.	00:02:44	00:02:51	Some meters after the exit of the rock tunnel.																																							
SumMe	7	car_over_camera	The video shows a camera filming cars from the ground.	The camera is accidentally moved by a car passing over it, causing it to film the ground.	00:00:35	00:00:55	The framing is from a slightly elevated position with respect to the ground of an arid brown field.	The camera is raised and placed on the ground.	00:00:56	00:01:07	From a slightly elevated position to the ground.	A car passes over the camera.	00:01:25	00:01:27	The framing is from the ground of an arid brown field.	The car moves toward the camera and passes over it.	00:01:47	00:01:50	The framing is from the ground of an arid brown field.	The camera is picked up by a man.	00:02:19	00:02:24	From the ground to the hands of the man picking up the camera.																																							
SumMe	7	Car_railcrossing	The video shows a train passing by and a car getting stuck in a hatch that lifts off the road as the car crosses the railroad crossing.	The train crosses the railway line.	00:00:00	00:00:19	The framing is frontal, a few meters from the railroad crossing.	The railroad crossing barrier is raised by a man.	00:00:13	00:00:18	The framing is frontal, a few meters from the railroad crossing.	One of the stopped cars moves forward but hits the hatch as it opens, causing a man who was standing on the hatch to fall to the ground from the impact.	00:00:18	00:00:23	The framing is frontal, a few meters from the railroad crossing.	Several people rush near the hatch and the railroad crossing.	00:00:28	00:01:14	The framing is frontal, a few meters from the railroad crossing.	Several people try to disengage the car from the hatch, also with the help of an excavator.	00:01:23	00:02:34	The framing is lateral, first-person, taken from a short distance from the car.	The excavator manages to close the hatch again, freeing the car.	00:02:36	00:02:49	The framing is lateral, first-person, taken from a short distance from the car.																																			
SumMe	7	Cooking	The video shows a chef cutting and cooking vegetables on a hotplate. After creating a volcano-shaped arrangement and pouring liquid inside, he ignites it, generating a blaze.	A chef chops and cooks some vegetables on a hotplate.	00:00:00	00:00:11	The framing is almost frontal, taken from a short distance from the chef.	The chef creates a volcano-shaped composition with a white ingredient.	00:00:12	00:00:21	The framing is almost frontal, taken from a short distance from the chef.	The chef takes a kettle and pours liquid into the cavity of the volcano-shaped composition.	00:00:22	00:00:26	The framing is almost frontal, taken from a short distance from the chef.	The chef lights a match to ignite the freshly poured liquid, generating a blaze that quickly goes out, leaving behind some smoke.	00:00:28	00:00:40	The framing is almost frontal, taken from a short distance from the chef.	The framing is almost frontal, taken from a short distance from the chef.																																										
SumMe	7	Eiffel_Tower	The video shows several shots of the Eiffel Tower, taken from various angles, including distant and close-up views, as well as side and below perspectives.	Bottom-up framing of the Eiffel Tower from the bridge over the river.	00:00:00	00:00:10	The shot is from a place near the bridge over the river.	Zoom in on the panoramic floor of the Eiffel Tower.	00:00:41	00:00:47	The framing is from further away, before the flowerbeds in front of the Eiffel Tower.	Lateral framings of the Eiffel Tower.	00:00:48	00:01:07	The framings are from different side angles near the Eiffel Tower.	The framings capture many people under the Eiffel Tower.	00:01:32	00:01:43	The framings are 360° under the Eiffel Tower.																																											
SumMe	7	Excavators_river_crossing	The video shows five groups of people crossing a river by putting themselves in the buckets of two excavators.	The first group climbs onto the bucket of the first excavator and is carried toward the second excavator.	00:00:06	00:00:48	The frontal framing on the river follows the movements of the excavator from several meters away.	The first group moves from the first excavator to the bucket of the second one.	00:00:49	00:01:18	The framing zooms in on the middle of the river.	The first group is carried by the second excavator to the other side of the river.	00:01:19	00:01:36	The frontal framing on the river follows the movements of the excavator from several meters away.	The second group is carried toward the second excavator.	00:01:39	00:01:55	The frontal framing on the river follows the movements of the excavator from several meters away.	The second group moves from the first excavator to the bucket of the second one.	00:01:57	00:02:20	The framing zooms in on the middle of the river.	The second group is carried by the second excavator to the other side of the river.	00:02:21	00:02:38	The frontal framing on the river follows the movements of the excavator from several meters away.	The third group is carried toward the second excavator.	00:02:40	00:02:54	The frontal framing on the river follows the movements of the excavator from several meters away.	The third group moves from the first excavator to the bucket of the second one.	00:02:55	00:03:29	The framing zooms in on the middle of the river.	The third group is carried by the second excavator to the other side of the river.	00:03:30	00:03:45	The frontal framing on the river follows the movements of the excavator from several meters away.	The fourth group is carried toward the second excavator.	00:03:48	00:04:10	The frontal framing on the river follows the movements of the excavator from several meters away.	The fourth group moves from the first excavator to the bucket of the second one.	00:04:11	00:04:32	The framing zooms in on the middle of the river and then zooms out.	The fourth group is carried by the second excavator to the other side of the river.	00:04:33	00:04:43	The frontal framing on the river follows the movements of the excavator from several meters away.	The fifth group is carried toward the second excavator.	00:04:53	00:05:03	The frontal framing on the river follows the movements of the excavator from several meters away.	The fifth group moves from the first excavator to the bucket of the second one.	00:05:04	00:05:24	The framing zooms in on the middle of the river and then zooms out.			
