Dataset Name	AnnotatorID	VideoID	Plain Summary	Event 1	Start Timestamp Event 1	End Timestamp Event 1	Location Event 1	Event 2	Start Timestamp Event 2	End Timestamp Event 2	Location Event 2	Event 3	Start Timestamp Event 3	End Timestamp Event 3	Location Event 3	Event 4	Start Timestamp Event 4	End Timestamp Event 4	Location Event 4	Event 5	Start Timestamp Event 5	End Timestamp Event 5	Location Event 5	Event 6	Start Timestamp Event 6	End Timestamp Event 6	Location Event 6	Event 7	Start Timestamp Event 7	End Timestamp Event 7	Location Event 7	Event 8	Start Timestamp Event 8	End Timestamp Event 8	Location Event 8	Event 9	Start Timestamp Event 9	End Timestamp Event 9	Location Event 9	Event 10	Start Timestamp Event 10	End Timestamp Event 10	Location Event 10	Event 11	Start Timestamp Event 11	End Timestamp Event 11	Location Event 11	Event 12	Start Timestamp Event 12	End Timestamp Event 12	Location Event 12	Additional comments
MSVD	3	_o1UXSxTjfo_68_80	The video shows a man selling items, presumably fruit, in bags to people gathered around him, all holding money in their hands	A man is talking and closing a bag	0:00:00	0:00:01	Outdoors, on the street, in front of a closed shutter	A woman takes the bag from the man, thanks him and laughs	0:00:01	0:00:03	Outdoors, on the street, in front of a closed shutter	The woman with the bag turns around and goes away	0:00:03	0:00:04	Outdoors, on the street, in front of a closed shutter	The man talks to the people gathered around him	0:00:05	0:00:08	Outdoors, on the street, in front of a closed shutter	The man starts closing another bag while the people around him are preparing the money	0:00:09	0:00:12	Outdoors, on the street, in front of a closed shutter																													
MSVD	3	UXs3eq68ZjE_49_54	The video shows part of a recipe where tomato purée is poured into a pot that already contains other ingredients and then stirred	A tomato purée is poured into a pot	0:00:00	0:00:01	Kitchen, above the stove	The tomato purée in the pot is stirred with a ladle	0:00:01	0:00:02	Kitchen, above the stove	The ladle is tapped against the pot to clean off the sauce	0:00:02	0:00:05	Kitchen, above the stove	A guy is speaking with a sheet on his hands 	0:00:05	0:00:05	None																																	
MSVD	3	u9prcUCHlqM_73_80	The video shows a man talking animatedly while walking on a path with a tripod on his shoulder	A man walks with a tripod on his shoulder and talks animatedly	0:00:00	0:00:07	A path surrounded by greenery																																													
MSVD	3	Hd-NeIhbYGc_43_48	The video shows a girl riding a horse	A girl rides a horse	0:00:00	0:00:02	Outside, in front of a wooden fence	A girl rides a horse	0:00:03	0:00:05	Outside, in front of a wooden fence, zoomed in																																									
MSVD	3	bXsKw3TOQXs_30_55	The video shows a man folding a sheet of paper and making an origami	A man folds a sheet of paper in a rectangular way	0:00:00	00:00:05	Inside, over a table	A man turns the sheet of paper around and keep folding it in a rectangular way	0:00:05	00:00:10	Inside, over a table	A man turns the sheet of paper around and keep folding it in a triangular way	0:00:10	00:00:17	Inside, over a table	A man turns the sheet of paper around and keep folding it in a triangular way	0:00:17	00:00:24	Inside, over a table	A man turns the sheet of paper around and unfolds it, showing the origami	0:00:24	00:00:25	Inside, over a table																													
MSVD	3	LF51fban_x4_300_325	The video shows a man making the bed by placing the pillows and arranging the blankets	A man walks around a bed	0:00:00	00:00:03	Inside, bedroom, zooming out	A man takes two pillows	00:00:03	00:00:05	Inside, bedroom	A man puts the two pillows over the bed	00:00:05	00:00:08	Inside, bedroom	A man arranges the blanket over the pillow on the right	00:00:09	00:00:13	Inside, bedroom, zooming in towards the pillows	A man arranges the blanket over the pillow on the left	00:00:13	00:00:21	Inside, bedroom	A man walks around a bed	0:00:21	00:00:25	Inside, bedroom, zooming out																									
MSVD	3	pGsU4FekJQM_10_18	The video shows a dog lying on its back on the floor	A dog lies on its back on the floor	0:00:00	0:00:07	Inside, on the floor, near what is seems to be a piece of furniture																																													
MSVD	3	b-d-CxHaKGU_10_30	The video shows a man explaining a math problem at the board, pointing with a large ruler.	A man is talking and pointing a board with a large ruler	0:00:00	0:00:10	Inside a classroom, in front of a board	A man is going out of the camera 	0:00:10	00:00:13	Inside a classroom, in front of a board	A new figure appears in the board, depicting a room in a house	00:00:13	00:00:14	Inside a classroom, in front of a board	A man goes back into the camera and starts talking, whhile pointing at the board with the hand	0:00:15	0:00:20	Inside a classroom, in front of a board																																	
MSVD	3	16iNk1hLJt4_37_40	The video shows six runners lined up at the starting line, ready to begin a race, while the referee checks the watch and raises the arm to signal the start	The runners are lined up at the starting line and the referee checks the watch	0:00:00	0:00:02	Outside, in a racing track	The runners are lined up at the starting line and the referee raises the arm	0:00:02	0:00:03	Outside, in a racing track																																									
MSVD	3	swKrHEeOj9c_4_8	The video shows a cat meowing, facing a wall	A cat meows, facing a wall	0:00:00	0:00:04	Inside, near a wall																																													
